nPolygons: 3
4 {750, -1500, -500} {-750, -1500, -500} {-750, -1500, 1000} {750, -1500, 1000} 
4 {750, 1500, -500} {-750, 1500, -500} {-750, 1500, 1000} {750, 1500, 1000} 
4 {750, 0, -500} {-750, 0, -500} {-750, 0, 1000} {750, 0, 1000} 
