nPolygons: 3
4 {7500, -25000, -5000} {-7500, -25000, -5000} {-7500, -25000, 10000} {7500, -25000, 10000} 
4 {7500, 25000, -5000} {-7500, 25000, -5000} {-7500, 25000, 10000} {7500, 25000, 10000} 
4 {7500, 0, -5000} {-7500, 0, -5000} {-7500, 0, 10000} {7500, 0, 10000} 
